"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P101","Samtec_TW-SM_20-pin","2284.999mil","3474.999mil","2284.999mil","3474.999mil","2639.33mil","3564.468mil","T","270.00","TW-10-03-F-D-310-SM"
"C104","A_3216","1204.999mil","3799.999mil","1204.999mil","3799.999mil","1149.881mil","3799.999mil","T","180.00","T491A475K025AT"
"C105","CAPC3225N","1274.999mil","3939.999mil","1274.999mil","3939.999mil","1274.999mil","3997.086mil","T","270.00","TMK325B7106KN-TR"
"Q101","ONSC-SOT-23-3-318-08_V","1910mil","4999.999mil","1909.999mil","4999.999mil","1947.401mil","5039.37mil","T","270.00","NTR4501NT1G"
"R104","RESC1608N","1155mil","3719.999mil","1154.999mil","3719.999mil","1121.535mil","3719.999mil","T","360.00","1608"
"R105","RESC1608N","2055mil","3684.999mil","2054.999mil","3684.999mil","2021.535mil","3684.999mil","T","360.00","1608"
"R106","RESC1608N","1700mil","4549.999mil","1699.999mil","4549.999mil","1666.535mil","4549.999mil","T","360.00","1608"
"R107","RESC1608N","1700mil","4474.999mil","1699.999mil","4474.999mil","1666.535mil","4474.999mil","T","360.00","1608"
"R108","RESC1608N","1700mil","4399.999mil","1699.999mil","4399.999mil","1666.535mil","4399.999mil","T","360.00","1608"
"R109","RESC1608N","1700mil","4324.999mil","1699.999mil","4324.999mil","1666.535mil","4324.999mil","T","360.00","1608"
"R110","RESC1608N","1700mil","4249.999mil","1699.999mil","4249.999mil","1666.535mil","4249.999mil","T","360.00","1608"
"U102","MUA08A_N","2775mil","4400mil","2774.999mil","4399.999mil","2692.322mil","4438.385mil","T","360.00","LM75BDP"
"D101","SOT-23_N","2069.999mil","5040mil","2069.999mil","5039.999mil","2032.598mil","4995.708mil","T","90.00","Diode BAS16"
"C103","RESC1608N","1634.999mil","4019.999mil","1634.999mil","4019.999mil","1634.999mil","4053.464mil","T","270.00","1608"
"C106","RESC1608N","1179.999mil","3960mil","1179.999mil","3959.999mil","1179.999mil","3926.535mil","T","90.00","1608"
"C107","RESC1608N","1484.999mil","4099.999mil","1484.999mil","4099.999mil","1518.464mil","4099.999mil","T","180.00","1608"
"C108","RESC1608N","1614.999mil","3890mil","1614.999mil","3889.999mil","1614.999mil","3856.535mil","T","90.00","1608"
"L101","SRR4018","1459.999mil","3779.999mil","1459.999mil","3779.999mil","1558.425mil","3779.999mil","T","270.00","Inductor"
"R111","RESC1608N","1485mil","4049.999mil","1484.999mil","4049.999mil","1451.535mil","4049.999mil","T","360.00","1608"
"R112","RESC1608N","1574.999mil","4019.999mil","1574.999mil","4019.999mil","1574.999mil","4053.464mil","T","270.00","1608"
"U103","TI-DRC10-2400X1650TP_V","1460mil","3954.999mil","1459.999mil","3954.999mil","1518.07mil","3915.629mil","T","180.00","TPS61080DRCR"
"C109","RESC1608N","1719.999mil","4650mil","1719.999mil","4649.999mil","1719.999mil","4616.535mil","T","90.00","1608"
"C110","RESC1608N","1604.999mil","4650mil","1604.999mil","4649.999mil","1604.999mil","4616.535mil","T","90.00","1608"
"P102","MI050DXK-24-1_-_duplicate","1215.449mil","4399.999mil","1149.999mil","4399.999mil","1149.999mil","4626.377mil","T","90.00","FH12A-24S-0.5SH(55)"

